kaggle_school,massey_school,kaggle_id
Gardner-Webb,Gardner Webb,79871449-f5a1-4650-b3cf-85b78fd6943e
George Mason,George Mason,e76479d0-a768-46d2-89bf-7b9dae12bec8
George Washington,G Washington,d52c3640-069c-4554-982e-e6537c8044f1
Georgetown,Georgetown,8736b67f-5924-400b-bf94-3bd804c36600
Georgia,Georgia,4f4b0771-994c-4126-822d-7525aaa00f65
Georgia St.,Georgia St,94ea835b-8ce9-4de2-a5b1-971548fea974
Georgia Tech,Georgia Tech,0f63a6f5-bda7-4fd9-9271-8d33f555ca19
Gonzaga,Gonzaga,2f4d21f8-6d5f-48a5-abca-52a30583871a
Grambling,Grambling,6776c7e6-f4c2-47bd-99e5-39fc179a3197
Grand Canyon,Grand Canyon,f7e6acc3-0778-4de5-940a-d88e20df1159
Green Bay,WI Green Bay,61a3e5ab-1be3-4694-b83f-edae0953f409
Hampton,Hampton,161354af-1f3e-4d58-88f7-e016ec74b7b6
Hartford,Hartford,dba620d9-7282-4638-bf05-13caf48eeed1
Harvard,Harvard,5c7bf63f-bc39-43c5-9907-73b50b7a6b34
Hawaii,Hawaii,d4dc55b3-94fe-4d4f-b0bf-c50c5f064392
High Point,High Point,a311188e-1259-4fda-b0ea-c47cb52694b1
Hofstra,Hofstra,36ca2008-cd2e-4549-8b3b-c745167e07f3
Holy Cross,Holy Cross,31aedd91-a77e-46c1-8bdc-80e9860c159d
Houston,Houston,1f99a164-d593-4d81-85d5-0d7889d6f486
Houston Baptist,Houston Bap,95a27dc5-16d5-4745-9adb-34c41e1444e8
Howard,Howard,22fbe5dc-c6db-4675-b3a3-2d8af7f5d313
Idaho,Idaho,ec6185b7-4e0c-4eb8-99ef-f3a4dccf6b91
Idaho St.,Idaho St,6a67ba19-56a8-4dd8-a5ae-9e9f2523c274
Ill.-Chicago,IL Chicago,dfe0d93f-94a5-47fb-b7aa-f74786e09acb
Illinois,Illinois,150148c2-ca8f-414f-8f41-d94a55d4a122
Illinois St.,Illinois St,509aacc4-c121-46a2-800a-d5431ef181d2
Incarnate Word,Incarnate Word,912671c7-19fd-451b-813e-885485427820
Indiana,Indiana,c3f0a8ce-af67-497f-a750-3b859376b20a
Indiana St.,Indiana St,2a997096-a381-469d-a7e9-9e031c8b071c
Iona,Iona,255c2a87-40c0-4989-bbb9-d286aac5d28e
Iowa,Iowa,c10544de-e3bd-4776-ba2e-83df8c017fd1
Iowa St.,Iowa St,0e4258fa-3154-4c16-b693-adecab184c6c
IUPUI,IUPUI,90ec10eb-38a4-4a69-b072-ef71d294933b
Jackson St.,Jackson St,c444e03b-d16b-48b2-9b18-823c2647d41d
Jacksonville,Jacksonville,fb28bd56-9e56-40c1-992d-71c1e27fe4fd
Jacksonville St.,Jacksonville St,13358462-e05b-4449-8688-90c4622cdde8
James Madison,James Madison,524e3eec-7dde-45c7-b3cc-6308cec73350
Kansas,Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952
Kansas St.,Kansas St,d203f38a-a166-4258-bca2-e161b591ecfb
Kennesaw St.,Kennesaw,2e8442e9-bd09-4d46-9dd3-de79433287f3
Kent St.,Kent,3da4798c-2d58-4dac-b66e-ad145a91b544
Kentucky,Kentucky,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
La Salle,La Salle,ad9a3e21-4585-4e35-8946-290fe4a16f18
La.-Monroe,LA Monroe,18585f21-1d63-4400-974c-433fd5073c34
Lafayette,Lafayette,6af02334-9ac3-452f-bcf4-20abdb72bd07
Lamar University,Lamar,eda6c307-1e0f-4a28-82f4-ee9653b343fb
Lehigh,Lehigh,508f503f-dc57-4f4c-a01e-4f195e5c05c8
Liberty,Liberty,559db90c-741f-40d1-aa81-3fdd1d4889f3
Lipscomb,Lipscomb,a2b8223d-40b3-4076-b5df-55655c2f8591
Little Rock,Ark Little Rock,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2
LIU Brooklyn,Long Island,82c12e8d-7c6c-47d8-b100-3cbc190d268e
Long Beach St.,Long Beach St,11a617d5-af03-4cce-bc8a-51114d9e41fe
Longwood,Longwood,600aad0e-85e7-4db8-be0b-94ba02a08e55
Louisiana,LA Lafayette,63cad858-8654-4956-8438-8fe79cd1208a
Louisiana Tech,Louisiana Tech,8ff733a9-9f93-46de-ba7e-cf6f7e429670
Louisville,Louisville,b795ddbc-baab-4499-8803-52e8608520ab
Loyola Chicago,Loyola-Chicago,61a3908a-7492-4b6f-809e-12c61976bb0a
Loyola Maryland,Loyola MD,175d34a7-3823-4e4f-9f11-2464f55360b8
Loyola Marymount,Loy Marymount,441a11b4-b506-45b3-8030-fe72a4381c40
LSU,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b
Maine,Maine,0095032d-6143-44f2-8974-f6815fc56c5b
Manhattan,Manhattan,7a270923-01d6-4a6f-a93e-e8786266d502
Marist,Marist,15d31915-fbd6-4ae3-8e4b-f3b563c56a18
Marquette,Marquette,06f7c904-0ac7-4125-b0f4-f4871bb69057
Marshall,Marshall,58d8baa3-7624-4b21-a47f-a23df2bf8859
Maryland,Maryland,2778d005-cc14-4e58-9bf2-3fc37bffb62f
Massachusetts,Massachusetts,88104678-e53b-43b3-82f7-efb3a11cedb9
McNeese,McNeese St,d2ef641c-70e4-48bb-b40d-ac654d179205
Memphis,Memphis,1551b3a0-6d10-4ffa-8dfa-73b56f004553
Mercer,Mercer,a14b0057-8eb5-43d2-a33b-666196da933e
Miami (FL),Miami FL,7aec5187-cb1b-45e5-8f7d-406d766cdc73
Miami (OH),Miami OH,1165ca31-f181-4206-b727-c4e897e4b5cd
Michigan,Michigan,bdc2561d-f603-4fab-a262-f1d2af462277
Michigan St.,Michigan St,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
Middle Tenn.,Middle Tenn St,3d2f0819-8f3b-4ff3-afd6-6227c469a751
Milwaukee,WI Milwaukee,5d77800f-1ae6-4b66-8e97-b0dbb8bbc717
Minnesota,Minnesota,fa416692-7e09-4f0a-9bcf-0cf7d5149a14
Mississippi St.,Mississippi St,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae
Mississippi Val.,MS Valley St,5873529e-e5e3-4a06-8a03-fa4cbe509880
Missouri,Missouri,77ca152a-cb2f-48a5-97b2-492351250d94
Missouri St.,Missouri St,b83de2df-328f-4303-9895-cdff048fb1ed
Monmouth,Monmouth  NJ,3db7336c-c18a-441b-912e-e2a4408f12ea
Montana,Montana,e3848467-66c0-41e5-8283-02e3586d8601
Montana St.,Montana St,bec40585-b587-4548-93f5-b7c00b046aea
Morehead St.,Morehead St,b7747a03-c85b-4de6-94bf-1b5b68553248
Morgan St.,Morgan St,576b816b-5b9a-4768-a62b-f8435a8272c2
Mt. St. Mary's,Mt St Mary's,5fe4a398-1699-4442-a364-305b2f0ac01e
Murray St.,Murray St,77a69fb0-1355-4342-ac09-b4cc7949d95e
N.C. A&T,NC A&T,53aaac6a-796e-41a6-a04e-6ce74c5717f8
N.C. Central,NC Central,e4c315a0-e83f-4d14-856e-34a0463059e3
Navy,Navy,3b088563-ca8a-49a6-9e19-5e4cb186ae1d
NC State,NC State,52df1e19-b142-4a76-a439-ad68455d0581
Nebraska,Nebraska,f8b1bf00-5b73-4ac4-98c0-ec554027ae32
Nevada,Nevada,62a73b4a-e281-4483-a1f8-f1160a18e456
New Hampshire,New Hampshire,93cb009e-5bbf-4081-b2c9-44028fe28096
New Mexico,New Mexico,1b1977ec-b32f-4ce3-95a4-d07bab4816cd
New Mexico St.,New Mexico St,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
New Orleans,New Orleans,e7ff6d5c-07e9-42af-955d-0a0b8c1e2288
Niagara,Niagara,f7575278-12ec-494a-b544-427c1759d43d
Nicholls St.,Nicholls St,c0d19efd-d40c-4e32-8e90-dbcb28178b5d
NJIT,NJIT,500d7223-ecff-494b-9539-28427156c783
Norfolk St.,Norfolk St,a8f75c12-c4db-401f-99e3-b48209d85274
North Carolina,North Carolina,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
North Dakota,North Dakota,de8fc8a7-253f-4597-8a48-a0104ef226ae
North Dakota St.,North Dakota St,984e7518-e418-45d5-9797-979b8c2085c1
North Florida,North Florida,09920a5f-1b25-466c-b5ae-6167214f5ba9
North Texas,North Texas,10f450ce-143b-4e46-8bfe-52c644b68b07
Northeastern,Northeastern,93df9b18-e9fc-42a7-bb45-a736c203b4dc
Northern Ariz.,N Arizona,1753768d-e46e-40b1-8d69-a8ae5cccec03
Northern Colo.,N Colorado,7e42fa84-68cd-47a6-b49a-18b5414d8084
Northern Ill.,N Illinois,3f0ac618-3742-471a-9d1f-03e08f3deca2
Northern Ky.,N Kentucky,ab9a1315-293f-42d3-a164-860216e81576
Northwestern,Northwestern,4b7dedc0-7b48-49a4-aad6-8a94a33274d2
Northwestern St.,Northwestern LA,71874e7e-8260-43f9-bb7c-65f267dbe8ce
Notre Dame,Notre Dame,80962f09-8821-48b6-8cf0-0cf0eea56aa8
Oakland,Oakland,aeaaef0d-5238-414e-ac04-c55a22cba208
Ohio,Ohio,327f09e2-e75f-4014-8ef7-caf9202cd583
Ohio St.,Ohio St,857462b3-0ab6-4d26-9669-10ca354e382b
Oklahoma,Oklahoma,b2fda957-e15c-4fb2-8a13-6e58496f561e
Oklahoma St.,Oklahoma St,8ab00d43-840a-4c96-bdee-bf88fa6e3f11
Old Dominion,Old Dominion,ce967953-5c50-4220-87b2-99acb9606e84
Ole Miss,Mississippi,d7d668ec-edaa-4d6b-be25-2ebba4128643
Omaha,NE Omaha,68d2aa5b-714f-4652-96f3-b71e1752413f
Oral Roberts,Oral Roberts,095417ae-62b0-4109-afc4-d92918599dd4
Oregon,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb
Oregon St.,Oregon St,532d3874-b4b3-4c5c-acc6-749a6db26c8f
Pacific,Pacific,c9570e17-c4fd-41e6-908a-1a083941319d
Penn,Penn,e6c94452-1adf-4fb9-90e5-10f165c57c5a
Penn St.,Penn St,4aebd148-8119-4875-954c-66779867989b
Pepperdine,Pepperdine,17479d6f-c8f1-458b-9412-8c76279a2bb4
Pittsburgh,Pittsburgh,24051034-96bb-4f78-a3a6-312f3258780f
Portland,Portland,224e3b21-30e7-4a05-9e8c-62721d581db8
Portland St.,Portland St,79965018-7f6f-4273-9eef-65c99b592b01
Prairie View,Prairie View,91ec9ba2-12e5-4a75-9410-a166c82163fd
Presbyterian,Presbyterian,b06b63b0-20e6-4c78-bdcf-5feac3d7995e
Princeton,Princeton,fe406882-9f22-495e-9df6-ef357a6803c6
Providence,Providence,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc
Purdue,Purdue,12d7f888-675b-459f-9099-a38f771d8a95
Quinnipiac,Quinnipiac,6a8d2a24-2128-47a0-913f-3d29e9d6592c
Radford,Radford,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
Rhode Island,Rhode Island,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4
Rice,Rice,bb384635-c3a0-459a-8f13-fcd7177313e5
Richmond,Richmond,9b66e1e0-aace-4671-9be2-54c8acf5ecfc
Rider,Rider,0b73b9b9-1e29-4b14-b5d8-0405fe942e32
Robert Morris,Robert Morris,6906e22d-92fa-40cb-8c05-ec8391ac1979
Rutgers,Rutgers,b03bb029-4499-4a2c-9074-5071ed360b21
Sacramento St.,CS Sacramento,1dc13b18-f9b3-4bb9-b1cf-979fcd8c2b6f
Sacred Heart,Sacred Heart,3556d445-b3f1-467e-b150-952b32dfb150
Saint Francis (PA),Saint Francis PA,6637ac5f-59c2-4888-af34-a86d138ccfb3
Saint Joseph's,Saint Joseph's PA,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8
Saint Louis,St Louis,1e42cce3-236b-4f3e-9650-2c45e6332e1e
Saint Mary's (CA),Saint Mary's CA,b18f34af-a7f1-4659-a2e5-fc11a31cd316
Saint Peter's,St Peter's,e66d7ed2-9b4c-48c8-adaa-a276793b057d
Sam Houston St.,Sam Houston St,67322042-9c40-4dc2-b33a-4754c02ec82a
Samford,Samford,c13f96ba-c79c-452f-9f63-3b45fae4e543
San Diego,San Diego,620d5944-7156-47d3-aad5-5b3824557d03
San Diego St.,San Diego St,e6914f16-ca37-4d2e-ba26-a425910283e2
San Francisco,San Francisco,d24efd99-8717-43b9-a086-9986a684ac04
San Jose St.,San Jose St,29de4e5e-ee5b-48c8-bffc-1972e7da1e30
Santa Clara,Santa Clara,28023973-1d9d-4d01-b939-dc8f9b44fb1c
Savannah St.,Savannah St,3eacc387-0ad8-4c5e-a666-c8ab447d224f
Seattle U,Seattle,7e100f63-0b32-49f6-a954-f5b7c8cf48ad
Seton Hall,Seton Hall,aef5e386-d8e8-460c-8014-3a2f090fd988
SFA,SF Austin,5ef64f01-86ae-4553-9834-c79cc0859eaf
Siena,Siena,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6
SIUE,Edwardsville,c206712f-2298-4279-b76c-834ac42809b9
SMU,SMU,3f4515ea-4472-46b9-ac9e-16d7d8f22a38
South Ala.,South Alabama,10c614fa-9646-46cf-a1fb-5af96772bbb8
South Carolina,South Carolina,1c7ec608-3b36-4cee-adac-9265e3792597
South Carolina St.,South Carolina St,a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed
South Dakota,South Dakota,c946b7ac-5159-4817-93c4-fc9495c6425b
South Dakota St.,South Dakota St,6ef40534-5fad-4755-84de-7dcbd645d1f0
South Fla.,South Florida,55af9c69-3675-4b9b-a882-96640b782fff
Southeast Mo. St.,SE Missouri St,6a7083ab-1832-48c0-9168-427b35adbcde
Southeastern La.,SE Louisiana,55cd5bb4-b030-4a7a-9652-6cebaf81c574
Southern California,USC,3a000455-de7c-4ca8-880e-abdce7f21da9
Southern Ill.,S Illinois,7cdfcf92-7fe7-46f1-9b66-6912114182e6
Southern Miss.,Southern Miss,6120ac5d-e0f2-4b28-9e6f-ee71596a7e88
Southern U.,Southern Univ,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984
Southern Utah,Southern Utah,c7116621-45ed-4ab1-9ad9-dee524120569
St. Bonaventure,St Bonaventure,22d90601-19d4-461b-a901-924d12f116ed
St. Francis Brooklyn,St Francis NY,e19cfc47-f23f-4c64-ba29-2e6d12dc45b2
St. John's (NY),St John's,c1f4aae1-aa16-4095-aeab-10e5c2a1236a
Stanford,Stanford,683ab61f-546f-44da-b085-c3a5740554aa
Stetson,Stetson,394d1b2b-7a19-4d43-b04a-5f366c24e5bf
Stony Brook,Stony Brook,23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6
Syracuse,Syracuse,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
TCU,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467
Temple,Temple,8598d1b6-106b-4083-a512-2e495729525a
Tennessee,Tennessee,b827dbdf-230f-4916-9703-3bb9004e26eb
Tennessee St.,Tennessee St,87721c44-53a2-47aa-9b3a-0f1c99b0f328
Tennessee Tech,Tennessee Tech,fe037cba-25d9-42f5-a461-61d7102c17de
Texas,Texas,6ed15092-2670-450a-99c2-61d861e87644
Texas A&M,Texas A&M,ef184799-d79b-49d9-a662-991eaf4044cd
Texas Southern,TX Southern,eb157f98-0697-459c-9293-ddb162ceb28b
Texas St.,Texas St,1e5dc9e4-c60d-487b-8279-dfbec9229faa
Texas Tech,Texas Tech,f8c705b7-87d3-411a-9c8b-5124daab0469
The Citadel,Citadel,412e7f0d-fb93-4e6e-be1f-9a4c7490d121
Toledo,Toledo,34dd83ac-64f2-4b73-8577-899b2a46f5cc
Towson,Towson,6f3eec09-2918-4739-a0e8-5d79e14a8332
Troy,Troy,6373b18c-62f6-49bc-bd4c-8959a2466516
Tulane,Tulane,399ad7fb-de60-45a6-a71f-d26e00f1a4ec
Tulsa,Tulsa,2959bd24-7007-41ae-a3a3-abdf26888cfc
UAB,UAB,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce
UC Davis,UC Davis,8aaad1c0-d16e-4b9f-8541-dac670addd71
UC Irvine,UC Irvine,39d00ef7-320d-47cf-a2fa-859bc24d16b4
UC Riverside,UC Riverside,6b170a32-8445-4cb1-8638-724996c3094b
UC Santa Barbara,Santa Barbara,3b6293f3-03db-46d2-8793-248963c2d83b
UCF,UCF,054c3e85-0552-4549-b123-7e84af6e7b6c
UCLA,UCLA,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
UConn,Connecticut,efba5350-79bc-47aa-a189-db177b95b491
UMass Lowell,MA Lowell,4927ef8b-e680-4fb8-b10e-2ea3eff32eab
UMBC,MD Baltimore Co,32755362-6336-4dd3-ac34-6f72a6cc150b
UMES,MD E Shore,d20216d8-161c-46e3-b8d2-92208ddf5acf
UMKC,Missouri KC,820c8f26-cf11-4997-b2e2-19f47bd2f72f
UNC Asheville,UNC Asheville,ad9fce12-6b1a-400c-bcbe-29d84d065fc0
UNCG,UNC Greensboro,612f7f66-1de1-4d42-b842-9a508daab911
UNCW,UNC Wilmington,c54279f9-3028-4663-893a-7d22482f8098
UNI,Northern Iowa,2c93a75d-5449-4ec1-9ca2-1e6c812399a4
UNLV,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2
USC Upstate,SC Upstate,2e78bd1b-9422-491e-9c73-37cf83b0e34e
UT Arlington,UT Arlington,7c2b372b-b5f0-466e-90cf-880beec57584
UT Martin,TN Martin,9febd5fa-982f-4f40-ad1d-8e49be96cf4f
Utah,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d
Utah St.,Utah St,7672ff16-8436-47e6-8546-0fb5494ec7ee
Utah Valley,Utah Val St,4200f37c-86e0-413e-a5c4-e5edf1e272e7
UTEP,UTEP,06d15d35-4955-4fdd-83d9-32d24dbd795b
UTRGV,UTRGV,92456e1e-f48c-4385-96ab-14cb27d18726
UTSA,UT San Antonio,953151f2-1e42-4cb0-a99e-202493a64dcf
Valparaiso,Valparaiso,df3da9d7-2d2b-44e2-99e2-08c4945a203b
Vanderbilt,Vanderbilt,72971b77-1d35-40b3-bb63-4c5b29f3d22b
VCU,VA Commonwealth,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
Vermont,Vermont,18e89867-9201-41ce-ba19-fadddf92fa17
Villanova,Villanova,4383eb6a-7fd8-4ff2-94c5-43c933121e88
Virginia,Virginia,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
Virginia Tech,Virginia Tech,324ccccc-575b-4b82-acb0-fbb8e68da13b
VMI,VMI,227d3567-d57b-417e-afc4-735e4cb308a1
Wagner,Wagner,3b644902-cd06-4930-9a3e-6c78cfb1f464
Wake Forest,Wake Forest,4fbebf0a-e117-4a0c-8f15-c247535a2a1b
Washington,Washington,e52c9644-717a-46f4-bf16-aeca000b3b44
Washington St.,Washington St,2d4f0015-adb4-4877-8c15-4a6eed7eed03
Weber St.,Weber St,4743cb7c-784a-4b95-a380-5471f92f2217
West Virginia,West Virginia,f770d3a2-221c-49ce-9c7a-680f7417fe9e
Western Caro.,W Carolina,6bff595c-32cb-4028-837c-c7de2a2107e6
Western Ill.,W Illinois,cc9e5424-ab3b-41ec-b2aa-7e8a73d759c6
Western Ky.,W Kentucky,881380da-861c-4ab6-a7d2-20699d8ea883
Western Mich.,W Michigan,f2164f01-2cbc-4967-bb1c-93656d790921
Wichita St.,Wichita St,f38b58de-3273-4723-a78b-2f918e9aa2d5
William & Mary,William & Mary,ad24b724-a11c-4dcd-a68c-67c53833ccb7
Winthrop,Winthrop,ca441726-0c57-4456-b1e7-fff098484fb5
Wisconsin,Wisconsin,c7569eae-5b93-4197-b204-6f3a62146b25
Wofford,Wofford,9916713f-b243-452b-93ae-a2c3ccabf68b
Wright St.,Wright St,9c396fa7-c165-4599-8542-158bd0d9a199
Wyoming,Wyoming,a7127c0a-a466-47ae-91ad-9a71ee2c9427
Xavier,Xavier,0d8a328f-20ce-410b-bed1-15fc01308aaf
Yale,Yale,ca478771-aa3d-4231-81e0-b70f519134fb
Youngstown St.,Youngstown St,da7d41bc-48b0-4a04-948f-792d6470bcb5
